bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
shoulders,band,Principiante,0978,elevación frontal con banda,delts,triceps,upper back,Párese con los pies separados al ancho de los hombros y sostenga la banda frente a los muslos con las palmas hacia abajo.,Mantenga los brazos rectos y levántelos lentamente hacia adelante hasta que queden paralelos al suelo.,"Haz una pausa por un momento en la parte superior, luego baja lentamente los brazos hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,,
upper legs,band,Principiante,1408,levantamiento de cadera con banda,glutes,hamstrings,quadriceps,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Coloque una banda de resistencia justo encima de las rodillas.,Contraiga los glúteos y los músculos centrales.,"Presiona los talones contra el suelo y levanta las caderas del suelo, apretando los glúteos en la parte superior.","Haz una pausa por un momento en la parte superior, luego baja lentamente las caderas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,band,Principiante,0979,prensa de banda horizontal pallof,abs,obliques,glutes,Fije la banda a un punto de anclaje resistente a la altura de la cintura.,Párese perpendicular al punto de anclaje con los pies separados al ancho de los hombros.,Sujete el mango de la banda con ambas manos y aléjese del punto de anclaje para crear tensión en la banda.,"Lleva las manos al pecho, manteniendo los codos doblados y cerca del cuerpo.",Contraiga el centro del cuerpo y mantenga una postura estable.,"Extiende los brazos hacia delante, alejando la banda del cuerpo.",,"Mantén la posición extendida durante unos segundos, concentrándote en mantener la tensión en el centro del cuerpo.","Lentamente, lleve las manos hacia el pecho, resistiendo el tirón de la banda.",,Repita el número de repeticiones deseado.,,,,
waist,band,Principiante,0981,abdominales con navaja de banda,abs,hip flexors,,"Acuéstese boca arriba con las piernas estiradas y los brazos extendidos hacia arriba, sosteniendo la banda.","Contrae los abdominales y levanta las piernas y la parte superior del cuerpo simultáneamente, llevando las manos hacia los pies.","Haz una pausa por un momento en la parte superior, luego baja lentamente las piernas y la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,,
back,band,Avanzado,0983,Banda de rodillas con un brazo en posición de pulldown,lats,biceps,rhomboids,Fije la banda a un punto de anclaje resistente por encima de su cabeza.,"Arrodíllate y sujeta la banda con una mano, con la palma hacia abajo.","Extiende el brazo completamente por encima de la cabeza, manteniendo el codo ligeramente doblado.","Contrae los músculos dorsales y tira de la banda hacia el costado, llevando el codo hacia la caja torácica.","Haz una pausa por un momento en la parte inferior, luego libera lentamente la tensión y vuelve a la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,
waist,band,Principiante,0985,abdominales con torsión y rodillas con banda,abs,obliques,,Fije la banda a un punto de anclaje resistente a la altura de la cintura.,"Arrodíllate mirando en dirección opuesta al punto de anclaje y sujeta la banda con ambas manos, manteniendo los codos doblados y cerca de los costados.","Contrae los abdominales y gira lentamente el torso hacia un lado, llevando las manos hacia la cadera opuesta.",Haga una pausa por un momento y luego regrese lentamente a la posición inicial.,Repita en el otro lado.,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,
upper legs,band,Principiante,0984,Rotación interna de cadera en posición acostada con banda,glutes,hamstrings,quadriceps,Acuéstese boca arriba con las piernas estiradas y una banda de resistencia alrededor de los pies.,"Dobla las rodillas y llévalas hacia el pecho, manteniendo los pies juntos.","Gire lentamente las rodillas hacia afuera, alejándose una de la otra, mientras mantiene los pies juntos.",Haga una pausa por un momento al final de la rotación y luego regrese lentamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
waist,band,Principiante,1002,elevación de pierna estirada acostado con banda,abs,hip flexors,,Acuéstese boca arriba con las piernas estiradas y los pies juntos.,Coloque la banda alrededor de los arcos de sus pies y sostenga los extremos de la banda con sus manos.,"Contrayendo los abdominales, levante ambas piernas del suelo hasta que queden perpendiculares al suelo.","Haz una pausa por un momento en la parte superior, luego baja lentamente las piernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,band,Avanzado,0986,Curl de bíceps con un brazo por encima de la cabeza con banda,biceps,forearms,shoulders,Párese con los pies separados al ancho de los hombros y coloque un extremo de la banda debajo del pie.,Sostenga el otro extremo de la banda con el brazo completamente extendido sobre la cabeza y la palma hacia adelante.,"Manteniendo el brazo superior estacionario, doble el antebrazo hacia el hombro, apretando el bíceps.","Haz una pausa por un momento en la parte superior, luego baja lentamente el antebrazo hasta la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de brazo.,,,,,,,,,,
upper legs,band,Avanzado,0987,Sentadilla dividida con una pierna y un brazo con banda,quads,glutes,hamstrings,Párese con los pies separados al ancho de las caderas y coloque una banda de resistencia alrededor de los tobillos.,Extiende una pierna hacia adelante y apoya la parte superior del pie sobre un banco o escalón detrás de ti.,Sujétese a un soporte con una mano para mantener el equilibrio.,"Doble la pierna de apoyo y baje el cuerpo hasta una posición de sentadilla, manteniendo la rodilla alineada con los dedos del pie.",Empuja con el talón para volver a la posición inicial.,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de pierna.,,,,,,,,,
back,band,Intermedio,0988,Remo bajo de pie con un brazo y banda,upper back,biceps,shoulders,Fije la banda a un punto de anclaje estable a la altura de la cintura.,Párese frente al punto de anclaje con los pies separados al ancho de los hombros.,"Sujete la banda con una mano, con la palma hacia adentro, y dé un paso atrás para crear tensión en la banda.","Dobla ligeramente las rodillas e inclínate hacia adelante desde las caderas, manteniendo la espalda recta.","Tire la banda hacia su cintura, apretando los omóplatos.","Haga una pausa por un momento en la parte superior del movimiento, luego suelte lentamente la banda hasta la posición inicial.",,Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,
chest,band,Avanzado,0989,Press de pecho con torsión de un brazo con banda,pectorals,shoulders,triceps,Fije la banda a un punto de anclaje resistente a la altura del pecho.,Párese con el costado mirando hacia el punto de anclaje y agarre la banda con una mano.,Aléjese del punto de anclaje para crear tensión en la banda.,Coloca los pies separados al ancho de los hombros y dobla ligeramente las rodillas.,"Lleva la mano que sostiene la banda por delante de tu cuerpo, hacia el hombro opuesto.","Mientras mantiene la tensión en la banda, empuje su mano hacia adelante y lejos de su cuerpo, extendiendo su brazo.",,Regrese lentamente a la posición inicial y repita el ejercicio hasta obtener la cantidad de repeticiones deseada.,Cambia de lado y repite el ejercicio con la otra mano.,,,,,,
back,band,Intermedio,0990,Remo sentado con banda y torsión de un brazo,upper back,biceps,shoulders,Siéntese en un banco o silla con los pies apoyados en el suelo y la espalda recta.,Sujete la banda con una mano y extienda el brazo completamente frente a usted.,"Manteniendo la espalda recta, tire de la banda hacia su cuerpo doblando el codo y apretando los omóplatos.","Al mismo tiempo, gira el torso hacia el lado del brazo que tira.","Haga una pausa por un momento en la parte superior, luego libere lentamente la tensión en la banda y regrese a la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie al otro brazo.,,,,,,,,,
upper legs,band,Principiante,0991,banda que avanza,glutes,hamstrings,lower back,Coloque una banda de resistencia en un punto de anclaje resistente a nivel del suelo.,Párese de espaldas al punto de anclaje con los pies separados al ancho de los hombros.,"Da un paso adelante para crear tensión en la banda, manteniendo las rodillas ligeramente dobladas.","Flexione las caderas y empuje los glúteos hacia atrás, manteniendo una ligera flexión en las rodillas.","Baje el torso hasta que quede paralelo al suelo, sintiendo un estiramiento en los isquiotibiales.",Mueva las caderas hacia adelante y apriete los glúteos para volver a la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
waist,band,Principiante,0992,abdominales con empuje de banda,abs,shoulders,chest,Fije la banda de forma segura a un punto de anclaje estable.,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Sujete la banda con ambas manos y extienda los brazos hacia el techo.,"Contrayendo los abdominales, levante lentamente la parte superior del cuerpo del suelo, curvándose hacia delante hasta que el torso forme un ángulo de 45 grados.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
shoulders,band,Principiante,0993,banda de mosca inversa,delts,upper back,trapezius,Fije la banda a un objeto fijo a la altura del pecho.,Párese con los pies separados al ancho de los hombros y sostenga la banda con ambas manos frente a usted.,Mantenga los brazos rectos y levántelos hacia los lados hasta que queden paralelos al suelo.,Aprieta los omóplatos en la parte superior del movimiento.,Baje lentamente los brazos hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
lower arms,band,Principiante,0994,curl de muñeca invertido con banda,forearms,forearms,,Siéntese en un banco o silla con los pies apoyados en el suelo.,"Sujete la banda con un agarre superior, con las palmas hacia abajo, y envuélvala alrededor de sus dedos.","Apoya los antebrazos sobre los muslos, con las muñecas colgando del borde.","Lentamente, doble las muñecas hacia arriba, apretando los antebrazos.","Haz una pausa por un momento en la parte superior, luego baja lentamente las muñecas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper legs,band,Principiante,0996,rotación interna de cadera sentado con banda,glutes,hamstrings,quadriceps,Siéntese en una silla o banco con la espalda recta y los pies apoyados en el suelo.,"Coloque una banda de resistencia alrededor de sus muslos, justo por encima de sus rodillas.",Mantenga las rodillas dobladas en un ángulo de 90 grados y los pies separados al ancho de los hombros.,"Contrae los glúteos y gira lentamente las rodillas hacia afuera, empujando contra la resistencia de la banda.",Haga una pausa por un momento al final del movimiento y luego regrese lentamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,
waist,band,Principiante,1011,giro sentado con banda,abs,obliques,,Siéntese en el suelo con las piernas extendidas frente a usted y la espalda recta.,Envuelva la banda alrededor de su cintura y sujete los extremos con ambas manos.,"Contrae los abdominales y gira lentamente el torso hacia un lado, manteniendo la espalda recta y los pies en el suelo.",Haga una pausa por un momento al final del giro y luego regrese lentamente a la posición inicial.,Repita el giro hacia el otro lado.,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,
shoulders,band,Principiante,0997,press de hombros con banda,delts,triceps,upper back,Párese con los pies separados al ancho de los hombros y coloque la banda debajo de sus pies.,"Sujete la banda con las palmas hacia adelante y levante las manos a la altura de los hombros, con los codos doblados.","Presione la banda por encima de la cabeza, extendiendo completamente los brazos.","Haga una pausa por un momento en la parte superior, luego baje lentamente la banda hasta la altura de los hombros.",Repita el número de repeticiones deseado.,,,,,,,,,,
